protocol_version,J,K,rep,seed_service,seed_lateness,method,patient,attended_stages,direct_burden,indirect_burden,total_burden,scenario_seed_mode
EJOR-SECTION52-PROTOCOL,4,15,0,2025,2025,DE-MILP,0,1,0.1064939865359642,0.0,0.1064939865359642,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,0,2025,2025,DE-MILP,1,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,0,2025,2025,DE-MILP,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,0,2025,2025,DE-MILP,3,2,0.051969542918622214,0.0,0.051969542918622214,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,0,2025,2025,SS-BW,0,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,0,2025,2025,SS-BW,1,1,1.866303024749817,0.0,1.866303024749817,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,0,2025,2025,SS-BW,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,0,2025,2025,SS-BW,3,2,4.099729193810597,0.0,4.099729193810597,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,0,2025,2025,SS-MILP,0,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,0,2025,2025,SS-MILP,1,1,0.16642898058961997,0.0,0.16642898058961997,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,0,2025,2025,SS-MILP,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,0,2025,2025,SS-MILP,3,2,0.051969542918622214,0.8631423236828275,0.9151118666014497,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,0,2025,2025,DE-MILP,0,1,0.21974530617048504,0.0,0.21974530617048504,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,0,2025,2025,DE-MILP,1,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,0,2025,2025,DE-MILP,2,2,0.05228572999688641,0.0,0.05228572999688641,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,0,2025,2025,DE-MILP,3,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,0,2025,2025,SS-BW,0,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,0,2025,2025,SS-BW,1,1,2.0,0.0,2.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,0,2025,2025,SS-BW,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,0,2025,2025,SS-BW,3,2,3.9787727150833563,0.0,3.9787727150833563,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,0,2025,2025,SS-MILP,0,1,0.21974530617048504,0.0,0.21974530617048504,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,0,2025,2025,SS-MILP,1,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,0,2025,2025,SS-MILP,2,2,0.05228572999688641,0.8455452154030678,0.8978309453999542,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,0,2025,2025,SS-MILP,3,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,0,2025,2025,DE-MILP,0,1,0.24316403808655518,0.0,0.24316403808655518,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,0,2025,2025,DE-MILP,1,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,0,2025,2025,DE-MILP,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,0,2025,2025,DE-MILP,3,2,0.04571584254308103,0.0,0.04571584254308103,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,0,2025,2025,SS-BW,0,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,0,2025,2025,SS-BW,1,1,2.0,0.0,2.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,0,2025,2025,SS-BW,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,0,2025,2025,SS-BW,3,2,3.9667816716354958,0.0,3.9667816716354958,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,0,2025,2025,SS-MILP,0,1,0.24316403808655518,0.0,0.24316403808655518,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,0,2025,2025,SS-MILP,1,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,0,2025,2025,SS-MILP,2,2,0.0,2.9115699350199473,2.9115699350199473,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,0,2025,2025,SS-MILP,3,2,0.04571584254308103,0.0,0.04571584254308103,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,0,2025,2025,DE-MILP,0,1,0.2622923536368176,0.0,0.2622923536368176,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,0,2025,2025,DE-MILP,1,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,0,2025,2025,DE-MILP,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,0,2025,2025,DE-MILP,3,2,0.04889859636701077,0.0,0.04889859636701077,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,0,2025,2025,SS-BW,0,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,0,2025,2025,SS-BW,1,1,1.9999999999999998,0.0,1.9999999999999998,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,0,2025,2025,SS-BW,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,0,2025,2025,SS-BW,3,2,4.002575574358138,0.0,4.002575574358138,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,0,2025,2025,SS-MILP,0,1,0.2622923536368176,0.0,0.2622923536368176,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,0,2025,2025,SS-MILP,1,1,0.0,0.0,0.0,common_replication_seed
