J,I,K,rep,seed_service,seed_lateness,method,algorithm_class,timing_scope,validated_obj,runtime_sec,budget_sec,validation_status,protocol_pass,test_K,test_mean_direct,test_p95_direct,test_direct_exceed_rate,test_mean_indirect,test_p95_indirect,test_indirect_exceed_rate,cuts_added,total_scenario_screens,num_vars,num_constrs,num_genconstrs
8,8,100,0,12065,12066,DE-MILP,exact formulation/decomposition,joint sequence-and-time optimization,6.981675898181692,115.10454273223877,120.0,PASS,1,1000,0.3414334538865231,1.5003121432173052,0.0127,0.01962027298348922,0.09793153380396175,0.0,0.0,0.0,19464.0,11587.0,39600.0
8,8,100,0,12065,12066,LBBD,exact formulation/decomposition,joint sequence-and-time optimization,6.365625416765539,120.09366655349731,120.0,PASS,1,1000,0.3307905828715508,1.5227326560226122,0.0139,0.0,0.0,0.0,13600.0,1500.0,17064.0,17001.0,4000.0
8,8,100,0,12065,12066,CBBD,exact formulation/decomposition,joint sequence-and-time optimization,6.365625416765539,120.24122190475464,120.0,PASS,1,1000,0.3307905828715508,1.5227326560226122,0.0139,0.0,0.0,0.0,3440.0,890.0,17064.0,17001.0,4000.0
8,8,100,0,12065,12066,K-BRKGA,independent heuristic comparator,fixed stable slots,8.32328152588174,1.685887098312378,120.0,PASS,not_applicable,1000,0.4282706714207962,1.9206215068373393,0.0238,0.0,0.0,0.0,nan,nan,nan,nan,nan
8,8,100,1,12165,12166,DE-MILP,exact formulation/decomposition,joint sequence-and-time optimization,6.8590491683571315,115.27795934677124,120.0,PASS,1,1000,0.33294733046573183,1.4894597237985518,0.01375,0.04420879741571251,0.3694037358448673,0.0,0.0,0.0,19464.0,11587.0,39600.0
8,8,100,1,12165,12166,LBBD,exact formulation/decomposition,joint sequence-and-time optimization,6.498363820233209,120.10019588470459,120.0,PASS,1,1000,0.3332505467270786,1.5253184579617338,0.015,0.0,0.0,0.0,15800.0,1500.0,17064.0,17001.0,4000.0
8,8,100,1,12165,12166,CBBD,exact formulation/decomposition,joint sequence-and-time optimization,6.498363820233209,120.25029587745667,120.0,PASS,1,1000,0.3332505467270786,1.5253184579617338,0.015,0.0,0.0,0.0,2920.0,710.0,17064.0,17001.0,4000.0
8,8,100,1,12165,12166,K-BRKGA,independent heuristic comparator,fixed stable slots,8.389270081913082,1.5537834167480469,120.0,PASS,not_applicable,1000,0.4304564472115184,1.9427342619287054,0.02465,0.0,0.0,0.0,nan,nan,nan,nan,nan
8,8,100,2,12265,12266,DE-MILP,exact formulation/decomposition,joint sequence-and-time optimization,6.757749658328379,115.10740423202515,120.0,PASS,1,1000,0.33234284989103774,1.5239820975896115,0.0132,0.04554470523962767,0.34594079064614097,0.0,0.0,0.0,19464.0,11587.0,39600.0
8,8,100,2,12265,12266,LBBD,exact formulation/decomposition,joint sequence-and-time optimization,6.40796172165021,120.11188125610352,120.0,PASS,1,1000,0.33932286423559865,1.5802794741083774,0.01555,0.0,0.0,0.0,14200.0,1900.0,17064.0,17001.0,4000.0
8,8,100,2,12265,12266,CBBD,exact formulation/decomposition,joint sequence-and-time optimization,6.40796172165021,120.0647521018982,120.0,PASS,1,1000,0.33932286423559865,1.5802794741083774,0.01555,0.0,0.0,0.0,2960.0,1000.0,17064.0,17001.0,4000.0
8,8,100,2,12265,12266,K-BRKGA,independent heuristic comparator,fixed stable slots,8.318964334615274,1.6411244869232178,120.0,PASS,not_applicable,1000,0.4360475338312218,1.9449944041701996,0.02535,0.0,0.0,0.0,nan,nan,nan,nan,nan
8,8,100,3,12365,12366,DE-MILP,exact formulation/decomposition,joint sequence-and-time optimization,6.098840880532549,115.10956072807312,120.0,PASS,1,1000,0.31253704158879175,1.5791960780961678,0.0135,0.04575985420143931,0.36319191332432366,0.0,0.0,0.0,19464.0,11587.0,39600.0
8,8,100,3,12365,12366,LBBD,exact formulation/decomposition,joint sequence-and-time optimization,6.289657882527379,120.09168887138367,120.0,PASS,1,1000,0.3315015948169932,1.5548963099010344,0.01465,0.0,0.0,0.0,10200.0,1300.0,17064.0,17001.0,4000.0
8,8,100,3,12365,12366,CBBD,exact formulation/decomposition,joint sequence-and-time optimization,6.289657882527379,120.22076416015625,120.0,PASS,1,1000,0.3315015948169932,1.5548963099010344,0.01465,0.0,0.0,0.0,2540.0,780.0,17064.0,17001.0,4000.0
8,8,100,3,12365,12366,K-BRKGA,independent heuristic comparator,fixed stable slots,8.213051678496313,1.6205036640167236,120.0,PASS,not_applicable,1000,0.4280196147398081,1.9614472229460889,0.0239,0.0,0.0,0.0,nan,nan,nan,nan,nan
8,8,100,4,12465,12466,DE-MILP,exact formulation/decomposition,joint sequence-and-time optimization,6.334079119434932,115.07600259780884,120.0,PASS,1,1000,0.31767042095193004,1.4866374261747854,0.01245,0.035106195953800906,0.26186922002006513,0.0,0.0,0.0,19464.0,11587.0,39600.0
8,8,100,4,12465,12466,LBBD,exact formulation/decomposition,joint sequence-and-time optimization,6.327214212317571,120.08658981323242,120.0,PASS,1,1000,0.3178404382065364,1.4848156609043148,0.01235,0.03915380248779068,0.29613490334905207,0.0,25000.0,3000.0,17064.0,17001.0,4000.0
8,8,100,4,12465,12466,CBBD,exact formulation/decomposition,joint sequence-and-time optimization,6.384671610416632,120.06955528259277,120.0,PASS,1,1000,0.3196418503751853,1.5045158119950426,0.01285,0.02160325092994037,0.12485466466718265,0.0,3560.0,1490.0,17064.0,17001.0,4000.0
8,8,100,4,12465,12466,K-BRKGA,independent heuristic comparator,fixed stable slots,8.459668348994242,1.5323116779327393,120.0,PASS,not_applicable,1000,0.43355783001699366,1.9463435295666853,0.023,0.0,0.0,0.0,nan,nan,nan,nan,nan
8,8,100,5,12565,12566,DE-MILP,exact formulation/decomposition,joint sequence-and-time optimization,6.024281846922307,115.16935920715332,120.0,PASS,1,1000,0.3185941545736002,1.5058503179572063,0.01335,0.04151379153334535,0.3181040015558126,0.0,0.0,0.0,19464.0,11587.0,39600.0
8,8,100,5,12565,12566,LBBD,exact formulation/decomposition,joint sequence-and-time optimization,6.141614487833223,117.35715365409851,120.0,PASS,1,1000,0.34079199819024997,1.5725459310785215,0.01475,0.0,0.0,0.0,11400.0,1400.0,17064.0,17001.0,4000.0
8,8,100,5,12565,12566,CBBD,exact formulation/decomposition,joint sequence-and-time optimization,6.141614487833223,120.07578754425049,120.0,PASS,1,1000,0.34079199819024997,1.5725459310785215,0.01475,0.0,0.0,0.0,3580.0,1010.0,17064.0,17001.0,4000.0
8,8,100,5,12565,12566,K-BRKGA,independent heuristic comparator,fixed stable slots,8.018033965038342,1.4963669776916504,120.0,PASS,not_applicable,1000,0.4390314583430088,1.9714739919217146,0.0257,0.0,0.0,0.0,nan,nan,nan,nan,nan
8,8,100,6,12665,12666,DE-MILP,exact formulation/decomposition,joint sequence-and-time optimization,6.15395263839298,115.20723271369934,120.0,PASS,1,1000,0.33701440423822704,1.5112182918389467,0.01405,0.0390822932607143,0.3083263846609715,0.0,0.0,0.0,19464.0,11587.0,39600.0
8,8,100,6,12665,12666,LBBD,exact formulation/decomposition,joint sequence-and-time optimization,6.202053500745507,116.88471722602844,120.0,PASS,1,1000,0.3369157997507109,1.5604620332414871,0.01545,0.0,0.0,0.0,12000.0,1300.0,17064.0,17001.0,4000.0
8,8,100,6,12665,12666,CBBD,exact formulation/decomposition,joint sequence-and-time optimization,5.938227518071656,114.32497930526733,120.0,PASS,1,1000,0.3242143904442795,1.5718317255553123,0.01455,0.031923288528051645,0.24108832195384702,0.0,1740.0,1630.0,17064.0,17001.0,4000.0
8,8,100,6,12665,12666,K-BRKGA,independent heuristic comparator,fixed stable slots,8.130051597588789,1.455622673034668,120.0,PASS,not_applicable,1000,0.43373052697060366,1.959506153268472,0.0252,0.0,0.0,0.0,nan,nan,nan,nan,nan
8,8,100,7,12765,12766,DE-MILP,exact formulation/decomposition,joint sequence-and-time optimization,6.42477899333754,115.1327896118164,120.0,PASS,1,1000,0.3172989709343606,1.5007449994315052,0.0122,0.050211864207668745,0.3646777025338871,0.0,0.0,0.0,19464.0,11587.0,39600.0
8,8,100,7,12765,12766,LBBD,exact formulation/decomposition,joint sequence-and-time optimization,6.416302987783581,120.09495139122009,120.0,PASS,1,1000,0.3316512129773256,1.5469563248989742,0.01375,0.0,0.0,0.0,11600.0,2300.0,17064.0,17001.0,4000.0
8,8,100,7,12765,12766,CBBD,exact formulation/decomposition,joint sequence-and-time optimization,6.416302987783581,111.23816275596619,120.0,PASS,1,1000,0.3316512129773256,1.5469563248989742,0.01375,0.0,0.0,0.0,4020.0,1560.0,17064.0,17001.0,4000.0
8,8,100,7,12765,12766,K-BRKGA,independent heuristic comparator,fixed stable slots,8.346307174442188,1.5294349193572998,120.0,PASS,not_applicable,1000,0.42774502203389275,1.9272521089356247,0.02255,0.0,0.0,0.0,nan,nan,nan,nan,nan
8,8,100,8,12865,12866,DE-MILP,exact formulation/decomposition,joint sequence-and-time optimization,6.207179204128977,115.0924723148346,120.0,PASS,1,1000,0.31880596335753486,1.4711234865019736,0.0122,0.0504375952314014,0.3948861847309286,0.0,0.0,0.0,19464.0,11587.0,39600.0
8,8,100,8,12865,12866,LBBD,exact formulation/decomposition,joint sequence-and-time optimization,6.205743059029899,111.84455013275146,120.0,PASS,1,1000,0.33386701626570703,1.54083080376302,0.0136,0.0,0.0,0.0,23384.0,2900.0,17064.0,17001.0,4000.0
8,8,100,8,12865,12866,CBBD,exact formulation/decomposition,joint sequence-and-time optimization,6.205743059029899,120.09868311882019,120.0,PASS,1,1000,0.33386701626570703,1.54083080376302,0.0136,0.0,0.0,0.0,3580.0,1360.0,17064.0,17001.0,4000.0
8,8,100,8,12865,12866,K-BRKGA,independent heuristic comparator,fixed stable slots,8.106462809899043,1.4709265232086182,120.0,PASS,not_applicable,1000,0.4294035407856185,1.913566867194382,0.02185,0.0,0.0,0.0,nan,nan,nan,nan,nan
8,8,100,9,12965,12966,DE-MILP,exact formulation/decomposition,joint sequence-and-time optimization,6.657407460948235,115.10698819160461,120.0,PASS,1,1000,0.31399807833386384,1.4911128910788551,0.01155,0.05445430138291335,0.40408558162335456,0.0,0.0,0.0,19464.0,11587.0,39600.0
8,8,100,9,12965,12966,LBBD,exact formulation/decomposition,joint sequence-and-time optimization,6.353781120603699,120.19692468643188,120.0,PASS,1,1000,0.33601493124449117,1.5950837995053637,0.0144,0.0,0.0,0.0,16600.0,2300.0,17064.0,17001.0,4000.0
8,8,100,9,12965,12966,CBBD,exact formulation/decomposition,joint sequence-and-time optimization,6.353781120603699,120.06950831413269,120.0,PASS,1,1000,0.33601493124449117,1.5950837995053637,0.0144,0.0,0.0,0.0,3880.0,2220.0,17064.0,17001.0,4000.0
8,8,100,9,12965,12966,K-BRKGA,independent heuristic comparator,fixed stable slots,8.251782648056661,1.594773530960083,120.0,PASS,not_applicable,1000,0.4328758993019633,1.9506398920495862,0.0245,0.0,0.0,0.0,nan,nan,nan,nan,nan
12,12,100,0,12065,12066,DE-MILP,exact formulation/decomposition,joint sequence-and-time optimization,11.806538174826443,115.40728330612183,120.0,PASS,1,1000,0.39073526827686944,1.5412940183470552,0.015266666666666666,0.00030580591970934723,0.0,0.0,0.0,0.0,29340.0,17526.0,86100.0
12,12,100,0,12065,12066,LBBD,exact formulation/decomposition,joint sequence-and-time optimization,8.752982136189132,118.54970693588257,120.0,PASS,1,1000,0.3293308062879013,1.4612039298095585,0.0116,0.0,0.0,0.0,10000.0,1500.0,25740.0,25647.0,6000.0
12,12,100,0,12065,12066,CBBD,exact formulation/decomposition,joint sequence-and-time optimization,8.752982136189132,120.13660192489624,120.0,PASS,1,1000,0.3293308062879013,1.4612039298095585,0.0116,0.0,0.0,0.0,4480.0,900.0,25740.0,25647.0,6000.0
12,12,100,0,12065,12066,K-BRKGA,independent heuristic comparator,fixed stable slots,12.481735198323264,2.6448898315429688,120.0,PASS,not_applicable,1000,0.45861325636116124,1.7345922098022921,0.019833333333333335,0.0,0.0,0.0,nan,nan,nan,nan,nan
