protocol_version,method,J,K,rep,seed_service,seed_lateness,algorithm_seed,budget_sec,pop_size,elite_size,mutant_size,inheritance_prob,max_generations,stall_generations,timing_mode,status,train_obj,validated_obj,validation_status,validation_max_violation,runtime_sec,best_gen,evaluations,feasible_evaluations,test_K,test_mean_direct,test_p95_direct,test_direct_exceed_rate,test_mean_indirect,test_p95_indirect,test_indirect_exceed_rate
EJOR-KBRKGA-PROTOCOL,K-BRKGA,8,100,0,12065,12066,30012065,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,8.32328152588174,8.32328152588174,PASS,0.0,1.685887098312378,0,2100,2100,1000,0.4282706714207962,1.9206215068373393,0.0238,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,8,100,1,12165,12166,30012165,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,8.389270081913082,8.389270081913082,PASS,0.0,1.5537834167480469,0,2100,2100,1000,0.4304564472115184,1.9427342619287054,0.02465,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,8,100,2,12265,12266,30012265,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,8.318964334615274,8.318964334615274,PASS,0.0,1.6411244869232178,2,2260,2260,1000,0.4360475338312218,1.9449944041701996,0.02535,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,8,100,3,12365,12366,30012365,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,8.213051678496313,8.213051678496313,PASS,0.0,1.6205036640167236,3,2340,2340,1000,0.4280196147398081,1.9614472229460889,0.0239,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,8,100,4,12465,12466,30012465,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,8.459668348994242,8.459668348994242,PASS,0.0,1.5323116779327393,1,2180,2180,1000,0.43355783001699366,1.9463435295666853,0.023,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,8,100,5,12565,12566,30012565,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,8.018033965038342,8.018033965038342,PASS,0.0,1.4963669776916504,0,2100,2100,1000,0.4390314583430088,1.9714739919217146,0.0257,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,8,100,6,12665,12666,30012665,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,8.130051597588789,8.130051597588789,PASS,0.0,1.455622673034668,0,2100,2100,1000,0.43373052697060366,1.959506153268472,0.0252,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,8,100,7,12765,12766,30012765,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,8.346307174442188,8.346307174442188,PASS,0.0,1.5294349193572998,0,2100,2100,1000,0.42774502203389275,1.9272521089356247,0.02255,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,8,100,8,12865,12866,30012865,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,8.106462809899043,8.106462809899043,PASS,0.0,1.4709265232086182,0,2100,2100,1000,0.4294035407856185,1.913566867194382,0.02185,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,8,100,9,12965,12966,30012965,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,8.251782648056661,8.251782648056661,PASS,0.0,1.594773530960083,1,2180,2180,1000,0.4328758993019633,1.9506398920495862,0.0245,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,12,100,0,12065,12066,30012065,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,12.481735198323264,12.481735198323264,PASS,0.0,2.6448898315429688,8,2740,2740,1000,0.45861325636116124,1.7345922098022921,0.019833333333333335,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,12,100,1,12165,12166,30012165,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,12.628457038236604,12.628457038236604,PASS,0.0,2.059915781021118,1,2180,2180,1000,0.47062607878502577,1.7718690327876943,0.0207,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,12,100,2,12265,12266,30012265,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,11.812636185524696,11.812636185524696,PASS,0.0,2.552332639694214,7,2660,2660,1000,0.46357071494624064,1.763803819108206,0.022066666666666665,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,12,100,3,12365,12366,30012365,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,12.486629533246088,12.486629533246088,PASS,0.0,2.3011281490325928,4,2420,2420,1000,0.47070486586269994,1.7967154722948824,0.021666666666666667,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,12,100,4,12465,12466,30012465,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,12.942839424544644,12.942839424544644,PASS,0.0,3.12408185005188,15,3300,3300,1000,0.45961260322820063,1.7291876074163812,0.0203,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,12,100,5,12565,12566,30012565,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,12.89106740486747,12.89106740486747,PASS,0.0,2.485229969024658,6,2580,2580,1000,0.4614794013954104,1.7705750909578697,0.020666666666666667,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,12,100,6,12665,12666,30012665,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,12.657296273879581,12.657296273879581,PASS,0.0,3.0016684532165527,13,3140,3140,1000,0.4535121807984685,1.723059560982898,0.0198,0.0,0.0,0.0
