J,I,first_method,reference_method,interpretation,n,mean_objective_reduction,sd_objective_reduction,ci95_low,ci95_high,mean_percent_reduction,wins,ties,losses,paired_t_p,signed_rank_permutation_p
8,8,LBBD,DE-MILP,positive reduction means first_method is better (lower),10,0.12906766590749044,0.26038024531185755,-0.05719714075928495,0.31533247257426583,1.822459724059166,7,0,3,0.15143983592613375,0.232421875
8,8,CBBD,DE-MILP,positive reduction means first_method is better (lower),10,0.14970452436496942,0.25806698845782544,-0.03490547803594923,0.3343145267658881,2.160458001896086,7,0,3,0.09979010830140556,0.130859375
8,8,LBBD,K-BRKGA,positive reduction means first_method is better (lower),10,1.9348555955435855,0.07318602482037023,1.8825014672664997,1.9872097238206714,23.434659208931187,10,0,0,2.5386390382942542e-14,0.001953125
8,8,CBBD,K-BRKGA,positive reduction means first_method is better (lower),10,1.9554924540010645,0.10029239572997896,1.8837475960975085,2.0272373119046203,23.69124714440381,10,0,0,3.9154030327311495e-13,0.001953125
8,8,CBBD,LBBD,positive reduction means first_method is better (lower),10,0.02063685845747898,0.08733505243867601,-0.04183887443938172,0.08311259135433968,0.3345749408576425,1,8,1,0.4739930551403786,1.0
12,12,LBBD,DE-MILP,positive reduction means first_method is better (lower),10,3.1821242796115228,0.5771417396035301,2.7692619504520133,3.5949866087710323,26.478994582382352,10,0,0,3.0346802122046665e-08,0.001953125
12,12,CBBD,DE-MILP,positive reduction means first_method is better (lower),10,3.1821242796115228,0.5771417396035301,2.7692619504520133,3.5949866087710323,26.478994582382352,10,0,0,3.0346802122046665e-08,0.001953125
12,12,LBBD,K-BRKGA,positive reduction means first_method is better (lower),10,3.683809772670409,0.1752938360489358,3.558412116475615,3.809207428865203,29.53865463174914,10,0,0,1.9974635662246076e-13,0.001953125
12,12,CBBD,K-BRKGA,positive reduction means first_method is better (lower),10,3.683809772670409,0.1752938360489358,3.558412116475615,3.809207428865203,29.53865463174914,10,0,0,1.9974635662246076e-13,0.001953125
12,12,CBBD,LBBD,positive reduction means first_method is better (lower),10,0.0,0.0,0.0,0.0,0.0,0,10,0,1.0,1.0
16,16,LBBD,DE-MILP,positive reduction means first_method is better (lower),10,5.709712996329583,0.6162340612605084,5.268885704901637,6.150540287757529,31.4099764205257,10,0,0,3.0656576413903186e-10,0.001953125
16,16,CBBD,DE-MILP,positive reduction means first_method is better (lower),10,5.709712996329583,0.6162340612605084,5.268885704901637,6.150540287757529,31.4099764205257,10,0,0,3.0656576413903186e-10,0.001953125
16,16,LBBD,K-BRKGA,positive reduction means first_method is better (lower),10,4.1903585114537325,0.13844977651693588,4.0913175076898005,4.2893995152176645,25.204656493362656,10,0,0,7.524815243373316e-15,0.001953125
16,16,CBBD,K-BRKGA,positive reduction means first_method is better (lower),10,4.1903585114537325,0.13844977651693588,4.0913175076898005,4.2893995152176645,25.204656493362656,10,0,0,7.524815243373316e-15,0.001953125
16,16,CBBD,LBBD,positive reduction means first_method is better (lower),10,0.0,0.0,0.0,0.0,0.0,0,10,0,1.0,1.0
20,20,LBBD,DE-MILP,positive reduction means first_method is better (lower),10,8.107674587121764,1.1625385795420664,7.276044585768472,8.939304588475057,33.116248599879924,10,0,0,3.82729078390691e-09,0.001953125
20,20,CBBD,DE-MILP,positive reduction means first_method is better (lower),10,8.107674587121764,1.1625385795420664,7.276044585768472,8.939304588475057,33.116248599879924,10,0,0,3.82729078390691e-09,0.001953125
20,20,LBBD,K-BRKGA,positive reduction means first_method is better (lower),10,4.614073029048342,0.45989715669915476,4.2850824219592,4.943063636137484,22.072834402512616,10,0,0,1.5074445653080433e-10,0.001953125
20,20,CBBD,K-BRKGA,positive reduction means first_method is better (lower),10,4.614073029048342,0.45989715669915476,4.2850824219592,4.943063636137484,22.072834402512616,10,0,0,1.5074445653080433e-10,0.001953125
20,20,CBBD,LBBD,positive reduction means first_method is better (lower),10,0.0,0.0,0.0,0.0,0.0,0,10,0,1.0,1.0
