section,instance_id,J,K,rep,kappa,service_seed,lateness_seed,seed_protocol,file,instance_rule,test_K,test_service_seed,test_lateness_seed,reported_method_count,sha256
5.2,S52_K15_R0,4,15,0,,2025,2025,common_replication_seed,instances/section_5_2/rep_00_base_K500.npz,use scenarios 0:15,,,,3,4fdb28fb2d3b814c0183d9a38c31e9c6d27b3d3dd0e9ada0a3e042bf08fb3461
5.2,S52_K50_R0,4,50,0,,2025,2025,common_replication_seed,instances/section_5_2/rep_00_base_K500.npz,use scenarios 0:50,,,,3,4fdb28fb2d3b814c0183d9a38c31e9c6d27b3d3dd0e9ada0a3e042bf08fb3461
5.2,S52_K200_R0,4,200,0,,2025,2025,common_replication_seed,instances/section_5_2/rep_00_base_K500.npz,use scenarios 0:200,,,,3,4fdb28fb2d3b814c0183d9a38c31e9c6d27b3d3dd0e9ada0a3e042bf08fb3461
5.2,S52_K500_R0,4,500,0,,2025,2025,common_replication_seed,instances/section_5_2/rep_00_base_K500.npz,use scenarios 0:500,,,,3,4fdb28fb2d3b814c0183d9a38c31e9c6d27b3d3dd0e9ada0a3e042bf08fb3461
5.2,S52_K15_R1,4,15,1,,2035,2035,common_replication_seed,instances/section_5_2/rep_01_base_K500.npz,use scenarios 0:15,,,,3,045696d8bc97d7d50b7666a7b8c1fcecd59aa91810bab0372ebdfda97c99fd18
5.2,S52_K50_R1,4,50,1,,2035,2035,common_replication_seed,instances/section_5_2/rep_01_base_K500.npz,use scenarios 0:50,,,,3,045696d8bc97d7d50b7666a7b8c1fcecd59aa91810bab0372ebdfda97c99fd18
5.2,S52_K200_R1,4,200,1,,2035,2035,common_replication_seed,instances/section_5_2/rep_01_base_K500.npz,use scenarios 0:200,,,,3,045696d8bc97d7d50b7666a7b8c1fcecd59aa91810bab0372ebdfda97c99fd18
5.2,S52_K500_R1,4,500,1,,2035,2035,common_replication_seed,instances/section_5_2/rep_01_base_K500.npz,use scenarios 0:500,,,,3,045696d8bc97d7d50b7666a7b8c1fcecd59aa91810bab0372ebdfda97c99fd18
5.2,S52_K15_R2,4,15,2,,2045,2045,common_replication_seed,instances/section_5_2/rep_02_base_K500.npz,use scenarios 0:15,,,,3,16873c50685c970a321d3807d0a34f4c5349840a877299b865d5e3a2f3814298
5.2,S52_K50_R2,4,50,2,,2045,2045,common_replication_seed,instances/section_5_2/rep_02_base_K500.npz,use scenarios 0:50,,,,3,16873c50685c970a321d3807d0a34f4c5349840a877299b865d5e3a2f3814298
5.2,S52_K200_R2,4,200,2,,2045,2045,common_replication_seed,instances/section_5_2/rep_02_base_K500.npz,use scenarios 0:200,,,,3,16873c50685c970a321d3807d0a34f4c5349840a877299b865d5e3a2f3814298
5.2,S52_K500_R2,4,500,2,,2045,2045,common_replication_seed,instances/section_5_2/rep_02_base_K500.npz,use scenarios 0:500,,,,3,16873c50685c970a321d3807d0a34f4c5349840a877299b865d5e3a2f3814298
5.2,S52_K15_R3,4,15,3,,2055,2055,common_replication_seed,instances/section_5_2/rep_03_base_K500.npz,use scenarios 0:15,,,,3,a18591b8bc46e680c0e19308f1d8bd8705eef686f90fd6fb72acb74a6529b8e4
5.2,S52_K50_R3,4,50,3,,2055,2055,common_replication_seed,instances/section_5_2/rep_03_base_K500.npz,use scenarios 0:50,,,,3,a18591b8bc46e680c0e19308f1d8bd8705eef686f90fd6fb72acb74a6529b8e4
5.2,S52_K200_R3,4,200,3,,2055,2055,common_replication_seed,instances/section_5_2/rep_03_base_K500.npz,use scenarios 0:200,,,,3,a18591b8bc46e680c0e19308f1d8bd8705eef686f90fd6fb72acb74a6529b8e4
5.2,S52_K500_R3,4,500,3,,2055,2055,common_replication_seed,instances/section_5_2/rep_03_base_K500.npz,use scenarios 0:500,,,,3,a18591b8bc46e680c0e19308f1d8bd8705eef686f90fd6fb72acb74a6529b8e4
5.2,S52_K15_R4,4,15,4,,2065,2065,common_replication_seed,instances/section_5_2/rep_04_base_K500.npz,use scenarios 0:15,,,,3,77780159867cfa3028acefd204d35d6156457b88d0242d9ea5bc6cefb46fb98f
5.2,S52_K50_R4,4,50,4,,2065,2065,common_replication_seed,instances/section_5_2/rep_04_base_K500.npz,use scenarios 0:50,,,,3,77780159867cfa3028acefd204d35d6156457b88d0242d9ea5bc6cefb46fb98f
5.2,S52_K200_R4,4,200,4,,2065,2065,common_replication_seed,instances/section_5_2/rep_04_base_K500.npz,use scenarios 0:200,,,,3,77780159867cfa3028acefd204d35d6156457b88d0242d9ea5bc6cefb46fb98f
5.2,S52_K500_R4,4,500,4,,2065,2065,common_replication_seed,instances/section_5_2/rep_04_base_K500.npz,use scenarios 0:500,,,,3,77780159867cfa3028acefd204d35d6156457b88d0242d9ea5bc6cefb46fb98f
5.2,S52_K15_R5,4,15,5,,2075,2075,common_replication_seed,instances/section_5_2/rep_05_base_K500.npz,use scenarios 0:15,,,,3,951f5798d0ab088a0f7bcaf98ff7f90cae343d1270b007e17a7fa64d99837185
5.2,S52_K50_R5,4,50,5,,2075,2075,common_replication_seed,instances/section_5_2/rep_05_base_K500.npz,use scenarios 0:50,,,,3,951f5798d0ab088a0f7bcaf98ff7f90cae343d1270b007e17a7fa64d99837185
5.2,S52_K200_R5,4,200,5,,2075,2075,common_replication_seed,instances/section_5_2/rep_05_base_K500.npz,use scenarios 0:200,,,,3,951f5798d0ab088a0f7bcaf98ff7f90cae343d1270b007e17a7fa64d99837185
5.2,S52_K500_R5,4,500,5,,2075,2075,common_replication_seed,instances/section_5_2/rep_05_base_K500.npz,use scenarios 0:500,,,,3,951f5798d0ab088a0f7bcaf98ff7f90cae343d1270b007e17a7fa64d99837185
5.2,S52_K15_R6,4,15,6,,2085,2085,common_replication_seed,instances/section_5_2/rep_06_base_K500.npz,use scenarios 0:15,,,,3,7db009f49462046540fe26967ad5f7d4b8417432a9413ce5b808af2eda1d3827
5.2,S52_K50_R6,4,50,6,,2085,2085,common_replication_seed,instances/section_5_2/rep_06_base_K500.npz,use scenarios 0:50,,,,3,7db009f49462046540fe26967ad5f7d4b8417432a9413ce5b808af2eda1d3827
5.2,S52_K200_R6,4,200,6,,2085,2085,common_replication_seed,instances/section_5_2/rep_06_base_K500.npz,use scenarios 0:200,,,,3,7db009f49462046540fe26967ad5f7d4b8417432a9413ce5b808af2eda1d3827
5.2,S52_K500_R6,4,500,6,,2085,2085,common_replication_seed,instances/section_5_2/rep_06_base_K500.npz,use scenarios 0:500,,,,3,7db009f49462046540fe26967ad5f7d4b8417432a9413ce5b808af2eda1d3827
5.2,S52_K15_R7,4,15,7,,2095,2095,common_replication_seed,instances/section_5_2/rep_07_base_K500.npz,use scenarios 0:15,,,,3,d97baa93de3043b7d829319d245ffdd6cde1a6ba91aae970862ae71f19afa37c
5.2,S52_K50_R7,4,50,7,,2095,2095,common_replication_seed,instances/section_5_2/rep_07_base_K500.npz,use scenarios 0:50,,,,3,d97baa93de3043b7d829319d245ffdd6cde1a6ba91aae970862ae71f19afa37c
5.2,S52_K200_R7,4,200,7,,2095,2095,common_replication_seed,instances/section_5_2/rep_07_base_K500.npz,use scenarios 0:200,,,,3,d97baa93de3043b7d829319d245ffdd6cde1a6ba91aae970862ae71f19afa37c
5.2,S52_K500_R7,4,500,7,,2095,2095,common_replication_seed,instances/section_5_2/rep_07_base_K500.npz,use scenarios 0:500,,,,3,d97baa93de3043b7d829319d245ffdd6cde1a6ba91aae970862ae71f19afa37c
5.2,S52_K15_R8,4,15,8,,2105,2105,common_replication_seed,instances/section_5_2/rep_08_base_K500.npz,use scenarios 0:15,,,,3,e3ad22c1394f27959dc3e306d5b626e227a23fbc6ead5f233e97451c121858b7
5.2,S52_K50_R8,4,50,8,,2105,2105,common_replication_seed,instances/section_5_2/rep_08_base_K500.npz,use scenarios 0:50,,,,3,e3ad22c1394f27959dc3e306d5b626e227a23fbc6ead5f233e97451c121858b7
5.2,S52_K200_R8,4,200,8,,2105,2105,common_replication_seed,instances/section_5_2/rep_08_base_K500.npz,use scenarios 0:200,,,,3,e3ad22c1394f27959dc3e306d5b626e227a23fbc6ead5f233e97451c121858b7
5.2,S52_K500_R8,4,500,8,,2105,2105,common_replication_seed,instances/section_5_2/rep_08_base_K500.npz,use scenarios 0:500,,,,3,e3ad22c1394f27959dc3e306d5b626e227a23fbc6ead5f233e97451c121858b7
5.2,S52_K15_R9,4,15,9,,2115,2115,common_replication_seed,instances/section_5_2/rep_09_base_K500.npz,use scenarios 0:15,,,,3,0ac63ecdbc353c793cb3f13abe6061cd1a692abd5f234cb9cd0f41c3bb82bf6e
5.2,S52_K50_R9,4,50,9,,2115,2115,common_replication_seed,instances/section_5_2/rep_09_base_K500.npz,use scenarios 0:50,,,,3,0ac63ecdbc353c793cb3f13abe6061cd1a692abd5f234cb9cd0f41c3bb82bf6e
5.2,S52_K200_R9,4,200,9,,2115,2115,common_replication_seed,instances/section_5_2/rep_09_base_K500.npz,use scenarios 0:200,,,,3,0ac63ecdbc353c793cb3f13abe6061cd1a692abd5f234cb9cd0f41c3bb82bf6e
5.2,S52_K500_R9,4,500,9,,2115,2115,common_replication_seed,instances/section_5_2/rep_09_base_K500.npz,use scenarios 0:500,,,,3,0ac63ecdbc353c793cb3f13abe6061cd1a692abd5f234cb9cd0f41c3bb82bf6e
5.3,S53_J8_R0,8,100,0,,12065,12066,separate_service_and_lateness_seeds,instances/section_5_3/J8_rep_00_K100.npz,stored instance,1000,10012065,20012066,4,7f213121980a6a39b4036892ae1ce4af90d7ef1880cfe71064677bbb8f44c45a
5.3,S53_J8_R1,8,100,1,,12165,12166,separate_service_and_lateness_seeds,instances/section_5_3/J8_rep_01_K100.npz,stored instance,1000,10012165,20012166,4,39a2a8ca3e2c41bf34858d5a213f634832316717f6fea5c64dedcecc487a742e
5.3,S53_J8_R2,8,100,2,,12265,12266,separate_service_and_lateness_seeds,instances/section_5_3/J8_rep_02_K100.npz,stored instance,1000,10012265,20012266,4,0cf6ec740aeeea254b46a2a2a5f31fee5c2552fe29af36a87aeac07fb3daa28e
5.3,S53_J8_R3,8,100,3,,12365,12366,separate_service_and_lateness_seeds,instances/section_5_3/J8_rep_03_K100.npz,stored instance,1000,10012365,20012366,4,83927183a13faf38a785f7f6e5f3391997cbb372a9bbb9df8dc8e03642166677
5.3,S53_J8_R4,8,100,4,,12465,12466,separate_service_and_lateness_seeds,instances/section_5_3/J8_rep_04_K100.npz,stored instance,1000,10012465,20012466,4,81096f8ae07e0f2a2c52e8b5aaa9543b0c6c56f1b29fe240b6268cad7b13aa69
5.3,S53_J8_R5,8,100,5,,12565,12566,separate_service_and_lateness_seeds,instances/section_5_3/J8_rep_05_K100.npz,stored instance,1000,10012565,20012566,4,2aa011c4d9ea3011b8e7c41f8ac362446a5a566a241ea8e25570a1856c4ec770
5.3,S53_J8_R6,8,100,6,,12665,12666,separate_service_and_lateness_seeds,instances/section_5_3/J8_rep_06_K100.npz,stored instance,1000,10012665,20012666,4,99e844792b4031b2aa671febb64d936dd1f27a0d15e6ed822921744d2a5baff7
5.3,S53_J8_R7,8,100,7,,12765,12766,separate_service_and_lateness_seeds,instances/section_5_3/J8_rep_07_K100.npz,stored instance,1000,10012765,20012766,4,ec178729fc055415dd19de4dd09c29fa29dd7630485d89dc01de90b12b56fd5c
5.3,S53_J8_R8,8,100,8,,12865,12866,separate_service_and_lateness_seeds,instances/section_5_3/J8_rep_08_K100.npz,stored instance,1000,10012865,20012866,4,60a6ad5dc069e8cc9d64ba61dbc6393710912edba80e040889b7b16211a4f142
5.3,S53_J8_R9,8,100,9,,12965,12966,separate_service_and_lateness_seeds,instances/section_5_3/J8_rep_09_K100.npz,stored instance,1000,10012965,20012966,4,fc3798ddb782e49865595cccad79f1e887f9b45da8bdbaaa00b055376d3c6b49
5.3,S53_J12_R0,12,100,0,,12065,12066,separate_service_and_lateness_seeds,instances/section_5_3/J12_rep_00_K100.npz,stored instance,1000,10012065,20012066,4,011f9f9a0e135b49f45e17514e404562c7670f265cf812456f16ff0f869ceefb
